time,temperature_2m,precipitation_hours (h),windspeed_10m,windgusts_10m,rain_sum (mm)
22-09-2022,22.6,22,18.9,38.2,5.9
23-09-2022,21.7,13,17.3,38.5,2.9
24-09-2022,22.4,8,14.8,31.7,1.9
25-09-2022,23.5,2,7.5,19.1,0.2
26-09-2022,23.7,6,8.3,22,6.7
27-09-2022,24.3,6,10,23.4,2.3
28-09-2022,24.7,3,11.8,26.6,0.7
29-09-2022,24.7,2,14.4,30.2,0.2
30-09-2022,24.6,1,13.8,31,0.1
01-10-2022,24.5,2,15.2,33.1,0.4
02-10-2022,24.5,2,18.4,42.8,0.3
03-10-2022,24.5,1,19.6,39.6,0.2
04-10-2022,23.8,8,14.4,29.2,3.8
05-10-2022,23.5,17,9.1,19.1,13.7
06-10-2022,22.9,22,14.5,32.4,18
07-10-2022,22.7,22,17.7,40,13.8
08-10-2022,23.2,16,18.5,35.6,4.7
09-10-2022,23.6,12,13,29.9,5.1
10-10-2022,23.1,13,11,30.2,6.9
11-10-2022,21.9,22,9.9,23,20.9
12-10-2022,22.2,19,6.2,20.9,15.2
13-10-2022,23.1,9,11.2,23,1.1
14-10-2022,22.8,2,15.2,32,0.3
15-10-2022,22.3,0,14.5,32,0
16-10-2022,22.6,4,13.4,24.8,0.9
17-10-2022,22.9,15,6.8,18.4,10.6
18-10-2022,22.6,10,9,21.2,3.4
19-10-2022,22.3,0,10.7,23,0
20-10-2022,22.1,0,9.2,20.5,0
21-10-2022,21.6,0,11.3,23.8,0
22-10-2022,21.5,0,16.6,33.1,0
23-10-2022,21,0,18.6,37.4,0
24-10-2022,20,0,15.2,30.2,0
25-10-2022,19.1,0,10.9,24.1,0
26-10-2022,19.9,0,7.9,15.8,0
27-10-2022,20.7,0,7.2,13.7,0
28-10-2022,20.8,0,8.4,18.4,0
29-10-2022,20.7,0,9.7,21.6,0
30-10-2022,20.6,0,11.5,26.3,0
31-10-2022,19.6,0,11.3,26.3,0
01-11-2022,19.7,0,9.7,18.7,0
02-11-2022,20.2,0,11.2,24.8,0
03-11-2022,21.3,0,6.2,15.5,0
04-11-2022,21.8,0,5.9,15.8,0
05-11-2022,22.5,0,7.1,15.5,0
06-11-2022,22.5,0,10.2,19.4,0
07-11-2022,21.9,0,13.4,27.4,0
08-11-2022,21.1,0,10.7,23.4,0
09-11-2022,20.5,0,8,20.2,0
10-11-2022,20.9,0,10,21.2,0
11-11-2022,21.4,0,11.8,27,0
12-11-2022,20.7,0,11.4,24.8,0
13-11-2022,19.8,0,9.8,20.5,0
14-11-2022,19.1,0,8.2,15.1,0
15-11-2022,19.2,0,7.4,15.5,0
16-11-2022,19.4,0,8,14,0
17-11-2022,19.5,0,10.8,24.1,0
18-11-2022,18.7,0,11.6,26.3,0
19-11-2022,17.6,0,11.1,23.4,0
20-11-2022,17.3,0,11.1,22.7,0
21-11-2022,18,0,10.3,22.3,0
22-11-2022,18.7,0,11.9,25.9,0
23-11-2022,18.8,0,11.3,23.4,0
24-11-2022,18.5,0,10.4,20.9,0
25-11-2022,18.6,0,11.1,23,0
26-11-2022,17.7,0,10,19.1,0
27-11-2022,17.4,0,7.6,14.4,0
28-11-2022,17.9,0,7.3,14.4,0
29-11-2022,18.6,0,9.3,20.2,0
30-11-2022,18.7,0,9,18.7,0
01-12-2022,18.6,0,11.3,23,0
02-12-2022,18.5,0,8.9,22,0
03-12-2022,19.5,0,6.8,18.4,0
04-12-2022,19.4,0,7.6,14.8,0
05-12-2022,19.7,0,9.2,17.3,0
06-12-2022,19.9,0,9.5,24.1,0
07-12-2022,18.2,0,17,36.4,0
08-12-2022,17.4,0,15.9,34.9,0
09-12-2022,17.7,0,15,34.6,0
10-12-2022,18.8,0,10.8,23.4,0
11-12-2022,20.8,0,10.1,24.8,0
12-12-2022,20.5,9,9,24.1,2.4
13-12-2022,21.5,1,10.2,18.4,0.1
14-12-2022,21.7,0,12,22,0
15-12-2022,21.8,1,10.9,19.1,0.1
16-12-2022,21.7,0,8.7,19.1,0
17-12-2022,20.2,0,10.8,27,0
18-12-2022,18.7,0,11.7,23.4,0
19-12-2022,18.6,0,8.4,19.4,0
20-12-2022,18.9,0,8.9,15.1,0
21-12-2022,19.5,0,8.2,19.1,0
22-12-2022,19.6,0,10.6,16.6,0
23-12-2022,20.8,0,10.5,24.8,0
24-12-2022,20.9,0,12.4,28.1,0
25-12-2022,19.4,0,12.7,27.4,0
26-12-2022,21,0,14.5,31.7,0
27-12-2022,20.1,1,13.6,30.2,0.1
28-12-2022,19.4,0,9.6,20.9,0
29-12-2022,18.5,0,9,17.3,0
30-12-2022,20.2,0,10.1,25.2,0
31-12-2022,19.3,0,10.2,20.5,0
